"facility_name","facility_id","address","city","state","zip","inspection_date","deficiency_tag","scope_severity","complaint","standard","infctrl","IDR","IIDR","eventid","inspection_text","cms_region","source_file"
"Demo Care Center Region 1-7-1","101060","101060 Demo Avenue","CT Demo City 1","CT","70766","2023-03-27","689","K","0","1","0","0","0","DEMO10012","This is a bundled demo citation for F-689 in CMS Region 1. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 1-7-1 in CT Demo City 1, CT. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-7-2","101061","101061 Demo Avenue","ME Demo City 1","ME","70767","2023-05-03","689","L","1","1","1","0","0","DEMO10013","This is a bundled demo citation for F-689 in CMS Region 1. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 1-7-2 in ME Demo City 1, ME. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-8-1","101070","101070 Demo Avenue","ME Demo City 2","ME","70777","2023-04-05","760","L","1","1","0","1","0","DEMO10014","This is a bundled demo citation for F-760 in CMS Region 1. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 1-8-1 in ME Demo City 2, ME. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-8-2","101071","101071 Demo Avenue","MA Demo City 2","MA","70778","2023-05-12","760","J","0","1","0","0","0","DEMO10015","This is a bundled demo citation for F-760 in CMS Region 1. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 1-8-2 in MA Demo City 2, MA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-9-1","101080","101080 Demo Avenue","MA Demo City 3","MA","70788","2023-04-14","835","J","0","1","0","0","0","DEMO10016","This is a bundled demo citation for F-835 in CMS Region 1. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 1-9-1 in MA Demo City 3, MA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-9-2","101081","101081 Demo Avenue","NH Demo City 3","NH","70789","2023-05-21","835","K","1","1","0","0","1","DEMO10017","This is a bundled demo citation for F-835 in CMS Region 1. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 1-9-2 in NH Demo City 3, NH. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-10-1","101090","101090 Demo Avenue","NH Demo City 1","NH","70799","2023-04-23","880","K","1","1","1","0","0","DEMO10018","This is a bundled demo citation for F-880 in CMS Region 1. Surveyors documented concerns related to infection prevention, isolation practices, and hand hygiene at Demo Care Center Region 1-10-1 in NH Demo City 1, NH. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-10-2","101091","101091 Demo Avenue","RI Demo City 1","RI","70800","2023-05-30","880","L","0","1","1","0","0","DEMO10019","This is a bundled demo citation for F-880 in CMS Region 1. Surveyors documented concerns related to infection prevention, isolation practices, and hand hygiene at Demo Care Center Region 1-10-2 in RI Demo City 1, RI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 2-1-1","102000","102000 Demo Avenue","NJ Demo City 1","NJ","71400","2023-02-18","580","L","0","1","0","0","0","DEMO20020","This is a bundled demo citation for F-580 in CMS Region 2. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 2-1-1 in NJ Demo City 1, NJ. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-1-2","102001","102001 Demo Avenue","NY Demo City 1","NY","71401","2023-03-27","580","J","1","1","0","1","0","DEMO20021","This is a bundled demo citation for F-580 in CMS Region 2. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 2-1-2 in NY Demo City 1, NY. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-2-1","102010","102010 Demo Avenue","NY Demo City 2","NY","71411","2023-02-27","600","J","1","1","0","0","0","DEMO20022","Not Available","2","demo_reg2.xlsx"
"Demo Care Center Region 2-2-2","102011","102011 Demo Avenue","PR Demo City 2","PR","71412","2023-04-05","600","K","0","1","0","0","0","DEMO20023","This is a bundled demo citation for F-600 in CMS Region 2. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 2-2-2 in PR Demo City 2, PR. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-3-1","102020","102020 Demo Avenue","PR Demo City 3","PR","71422","2023-03-08","610","K","0","1","0","0","0","DEMO20024","This is a bundled demo citation for F-610 in CMS Region 2. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 2-3-1 in PR Demo City 3, PR. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-3-2","102021","102021 Demo Avenue","VI Demo City 3","VI","71423","2023-04-14","610","L","1","1","0","0","0","DEMO20025","This is a bundled demo citation for F-610 in CMS Region 2. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 2-3-2 in VI Demo City 3, VI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-4-1","102030","102030 Demo Avenue","VI Demo City 1","VI","71433","2023-03-17","678","L","1","1","1","0","0","DEMO20026","This is a bundled demo citation for F-678 in CMS Region 2. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 2-4-1 in VI Demo City 1, VI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-4-2","102031","102031 Demo Avenue","NJ Demo City 1","NJ","71434","2023-04-23","678","J","0","1","0","0","0","DEMO20027","This is a bundled demo citation for F-678 in CMS Region 2. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 2-4-2 in NJ Demo City 1, NJ. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-5-1","102040","102040 Demo Avenue","NJ Demo City 2","NJ","71444","2023-03-26","684","J","0","1","0","1","0","DEMO20028","This is a bundled demo citation for F-684 in CMS Region 2. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 2-5-1 in NJ Demo City 2, NJ. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-5-2","102041","102041 Demo Avenue","NY Demo City 2","NY","71445","2023-05-02","684","K","1","1","0","0","0","DEMO20029","This is a bundled demo citation for F-684 in CMS Region 2. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 2-5-2 in NY Demo City 2, NY. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-6-1","102050","102050 Demo Avenue","NY Demo City 3","NY","71455","2023-04-04","686","K","1","1","0","0","0","DEMO20030","This is a bundled demo citation for F-686 in CMS Region 2. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 2-6-1 in NY Demo City 3, NY. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-6-2","102051","102051 Demo Avenue","PR Demo City 3","PR","71456","2023-05-11","686","L","0","1","0","0","0","DEMO20031","This is a bundled demo citation for F-686 in CMS Region 2. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 2-6-2 in PR Demo City 3, PR. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-7-1","102060","102060 Demo Avenue","PR Demo City 1","PR","71466","2023-04-13","689","L","0","1","0","0","0","DEMO20032","This is a bundled demo citation for F-689 in CMS Region 2. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 2-7-1 in PR Demo City 1, PR. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-7-2","102061","102061 Demo Avenue","VI Demo City 1","VI","71467","2023-05-20","689","J","1","1","0","0","0","DEMO20033","Not Available","2","demo_reg2.xlsx"
"Demo Care Center Region 2-8-1","102070","102070 Demo Avenue","VI Demo City 2","VI","71477","2023-04-22","760","J","1","1","0","0","1","DEMO20034","This is a bundled demo citation for F-760 in CMS Region 2. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 2-8-1 in VI Demo City 2, VI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-8-2","102071","102071 Demo Avenue","NJ Demo City 2","NJ","71478","2023-05-29","760","K","0","1","0","1","0","DEMO20035","This is a bundled demo citation for F-760 in CMS Region 2. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 2-8-2 in NJ Demo City 2, NJ. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-9-1","102080","102080 Demo Avenue","NJ Demo City 3","NJ","71488","2023-05-01","835","K","0","1","0","0","0","DEMO20036","This is a bundled demo citation for F-835 in CMS Region 2. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 2-9-1 in NJ Demo City 3, NJ. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-9-2","102081","102081 Demo Avenue","NY Demo City 3","NY","71489","2023-06-07","835","L","1","1","0","0","0","DEMO20037","This is a bundled demo citation for F-835 in CMS Region 2. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 2-9-2 in NY Demo City 3, NY. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-10-1","102090","102090 Demo Avenue","NY Demo City 1","NY","71499","2023-05-10","880","L","1","1","1","0","0","DEMO20038","This is a bundled demo citation for F-880 in CMS Region 2. Surveyors documented concerns related to infection prevention, isolation practices, and hand hygiene at Demo Care Center Region 2-10-1 in NY Demo City 1, NY. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 2-10-2","102091","102091 Demo Avenue","PR Demo City 1","PR","71500","2023-06-16","880","J","0","1","1","0","0","DEMO20039","This is a bundled demo citation for F-880 in CMS Region 2. Surveyors documented concerns related to infection prevention, isolation practices, and hand hygiene at Demo Care Center Region 2-10-2 in PR Demo City 1, PR. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","2","demo_reg2.xlsx"
"Demo Care Center Region 3-1-1","103000","103000 Demo Avenue","DE Demo City 1","DE","72100","2023-03-07","580","J","0","1","0","0","0","DEMO30040","This is a bundled demo citation for F-580 in CMS Region 3. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 3-1-1 in DE Demo City 1, DE. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-1-2","103001","103001 Demo Avenue","DC Demo City 1","DC","72101","2023-04-13","580","K","1","1","0","0","0","DEMO30041","This is a bundled demo citation for F-580 in CMS Region 3. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 3-1-2 in DC Demo City 1, DC. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-2-1","103010","103010 Demo Avenue","DC Demo City 2","DC","72111","2023-03-16","600","K","1","1","0","1","0","DEMO30042","This is a bundled demo citation for F-600 in CMS Region 3. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 3-2-1 in DC Demo City 2, DC. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-2-2","103011","103011 Demo Avenue","MD Demo City 2","MD","72112","2023-04-22","600","L","0","1","0","0","0","DEMO30043","This is a bundled demo citation for F-600 in CMS Region 3. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 3-2-2 in MD Demo City 2, MD. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-3-1","103020","103020 Demo Avenue","MD Demo City 3","MD","72122","2023-03-25","610","L","0","1","0","0","0","DEMO30044","Not Available","3","demo_reg3.xlsx"
"Demo Care Center Region 3-3-2","103021","103021 Demo Avenue","PA Demo City 3","PA","72123","2023-05-01","610","J","1","1","0","0","0","DEMO30045","This is a bundled demo citation for F-610 in CMS Region 3. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 3-3-2 in PA Demo City 3, PA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-4-1","103030","103030 Demo Avenue","PA Demo City 1","PA","72133","2023-04-03","678","J","1","1","0","0","0","DEMO30046","This is a bundled demo citation for F-678 in CMS Region 3. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 3-4-1 in PA Demo City 1, PA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-4-2","103031","103031 Demo Avenue","VA Demo City 1","VA","72134","2023-05-10","678","K","0","1","0","0","0","DEMO30047","This is a bundled demo citation for F-678 in CMS Region 3. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 3-4-2 in VA Demo City 1, VA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-5-1","103040","103040 Demo Avenue","VA Demo City 2","VA","72144","2023-04-12","684","K","0","1","0","0","0","DEMO30048","This is a bundled demo citation for F-684 in CMS Region 3. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 3-5-1 in VA Demo City 2, VA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
